|labels 0 1 |features 4.207311 4.031376 4.584262 4.442387 3.536451 1.812262 0.444894 0.748698 3.613238 8.441401 13.005889 14.747912 12.709867 7.903788 2.604116 -1.232431 -3.386886 -4.998476 -7.063533 -9.063318 -9.718460 -8.165037 -4.755492 -1.175380 1.146514 2.308403 3.809160 6.848329 11.419646 16.102684 19.207175 20.026897 19.105323 17.719484 16.734973 16.323491 16.296662 16.551536 17.022033 17.590321 17.771673 17.042319 15.189768 12.444883 9.448392 7.251499 6.408744 6.876266 8.011687 8.478324 6.986603 3.556430 -0.462311 -2.889395 -2.172459 1.174941 4.768848 6.152830 4.099847 -0.300440 -4.603612 -6.941181 -7.260524 -6.537223 -6.536954 -8.074625 -11.173171 -14.959276 -18.440852 -20.222987 -19.409069 -16.138094 -11.989644 -9.307519 -10.001247 -13.951457 -19.207215 -23.336951 -24.839907 -23.823272 -21.539851 -18.808279 -15.672068 -11.982777 -7.817783 -3.919667 -0.982743 0.826766 1.846476 1.925515 0.758154 -2.134474 -5.971992 -9.295074 -10.253283 -8.429336 -4.519245 -0.186912 3.743610 7.088948 9.874760 11.624533 11.553826 9.536203 6.589518 4.844209 5.648245 8.630477 12.161023 14.543505 15.204879 15.150073 15.325561 15.966955 16.377223 15.965775 14.883005 13.916202 13.517100 13.398238 12.613696 10.358662 7.242009 4.498677 3.706425 5.478242 9.002175 12.375405 13.694655 11.768450 6.847239 0.369487 -5.688850 -10.030053 -12.160832 -12.710752 -12.336195 -11.562271 -10.076748 -7.977038 -5.364014 -3.176230 -1.732466 -1.109600 -0.792884 -0.310244 0.592171 1.539382 2.314791 3.176193 4.136686 5.164123 5.375255 4.102329 0.890706 -3.886356 -9.013145 -12.712785 -13.628376 -10.848347 -4.088030 5.305847 15.118857 22.733381 26.420919 26.189422 24.296231 22.608032 22.060152 22.848797 23.769590 24.425489 24.900638 25.512397 25.423678 23.393122 17.637128 8.853762 -0.701541 -8.098218 -11.162495 -10.367981 -7.903048 -6.081343 -6.139410 -7.690276 -9.141557 -9.405191 -8.558784 -7.088571 -5.436900 -3.258669 0.024138 4.398930 8.660093 10.691328 9.041507 3.884831 -2.086956 -6.314285 
|labels 0 1 |features -10.536176 -11.822348 -5.298385 -1.626145 2.204889 3.869100 2.732954 -0.469126 -4.444741 -8.128127 -10.915975 -12.570343 -13.253864 -13.350441 -13.198776 -12.509511 -10.937478 -7.994262 -3.977238 0.329351 3.726757 5.841889 6.729607 6.977029 6.849935 6.602165 6.515043 7.336152 9.650445 12.977703 15.610702 15.873521 13.397169 9.248326 5.760377 5.159021 7.884342 12.745736 18.343507 23.349313 26.765795 28.685605 28.737202 27.112216 24.228866 20.845269 16.841422 12.427642 7.460730 2.491668 -1.669697 -4.156742 -4.719265 -3.872086 -2.775480 -2.356361 -3.055543 -4.946648 -7.626641 -10.422539 -12.412560 -13.218099 -13.320289 -14.167439 -16.766651 -20.939105 -25.070376 -27.207329 -26.537395 -24.200278 -22.279637 -22.123133 -23.310321 -24.463403 -24.159028 -22.235542 -19.446634 -16.557821 -13.523678 -10.330874 -7.526955 -5.666308 -4.808460 -4.031822 -1.828391 2.285219 6.877903 9.672524 9.177172 6.358063 3.948221 4.591416 8.412664 14.045368 18.755379 21.416573 22.115237 22.427073 22.760923 23.424444 23.583426 23.322825 22.795985 22.808849 23.035610 23.356439 22.936484 21.594706 19.471136 17.437683 16.006692 15.451440 15.165388 13.915878 11.194863 7.165774 3.150445 0.783239 1.197056 3.702392 6.997648 9.658823 11.182702 11.827649 12.078314 11.774790 10.675927 8.929349 7.242648 6.478801 6.787784 7.050520 5.810227 2.455213 -2.508280 -7.606806 -11.712082 -14.619088 -16.750759 -18.193039 -18.773065 -18.438557 -17.227166 -15.879846 -15.377732 -16.456943 -18.774910 -21.610143 -23.928504 -25.355523 -25.278584 -23.983488 -22.357681 -21.807643 -22.336908 -23.104615 -22.193342 -18.154224 -11.059783 -3.123185 3.075464 6.176301 6.776063 6.287861 5.412447 3.499070 -0.093256 -5.290642 -10.193060 -12.265680 -10.295689 -5.386938 0.009350 3.765257 5.235077 5.052532 4.217501 3.319194 2.539013 1.998857 2.093052 2.954893 4.018295 3.999549 2.129555 -1.514272 -5.625173 -8.410772 -8.451124 -5.931438 -2.017125 1.515719 3.463454 3.432361 2.364203 1.477528 1.585143 2.048472 1.618604 -1.100025 
|labels 1 0 |features -3.243409 -8.294485 -6.432918 -6.388934 -6.025369 -6.115899 -5.990449 -3.747292 2.049287 10.342427 18.171836 22.047136 20.450326 14.544294 7.377326 1.414353 -2.396433 -5.095399 -7.969139 -11.486338 -14.721079 -16.259841 -15.227627 -12.248774 -8.327483 -4.646881 -1.439050 1.705764 5.630026 10.515153 15.770013 20.325022 23.567024 24.933200 24.644448 23.111269 20.495922 16.933723 13.251985 10.332063 9.196425 9.949846 11.477234 12.487508 12.384625 11.756579 11.155764 10.937759 10.193899 7.776037 3.280260 -1.171822 -3.334051 -1.982396 1.556305 4.813820 5.638462 4.515611 3.576862 4.695429 7.528315 9.889699 9.487704 6.327850 2.414338 0.140486 0.453333 2.064514 2.838424 2.024204 0.571644 -0.073262 0.851251 2.412351 2.929529 1.371947 -1.990782 -5.802240 -8.981524 -10.976601 -11.666685 -11.211720 -10.083543 -8.646510 -7.805216 -8.638644 -11.271765 -14.792883 -17.976598 -19.988194 -20.833170 -21.295028 -22.037816 -22.818107 -22.741812 -21.131472 -18.238751 -15.437144 -14.254613 -15.399068 -18.258622 -21.083428 -21.938862 -20.139475 -16.235080 -11.994154 -9.506697 -10.218105 -13.955073 -19.635600 -24.959733 -28.170658 -28.466467 -26.211865 -22.802971 -20.252059 -19.747963 -21.263568 -23.533193 -24.895300 -23.986503 -20.392691 -15.000611 -9.397732 -4.795961 -1.698804 -0.234675 0.038552 -0.707520 -2.214973 -4.126807 -5.568950 -5.697114 -3.809697 0.011288 4.826403 9.127150 11.524386 11.121406 8.051093 3.555923 -0.540474 -2.783100 -2.450884 -0.091403 2.627623 4.212959 4.053672 2.384208 0.113594 -2.077938 -3.846833 -4.969183 -5.015831 -3.322921 0.350953 4.791473 8.026221 8.375203 5.596914 1.577101 -0.610227 0.717894 5.279124 10.143347 12.451882 10.763522 6.362382 1.692653 -0.408632 0.707884 3.716388 6.742669 7.804458 6.451347 3.101825 -0.803239 -4.394637 -6.643436 -7.315944 -6.355887 -4.232002 -1.822052 -0.303230 -0.590698 -2.865997 -6.528087 -9.911308 -11.653193 -11.380248 -9.646840 -7.694684 -6.719251 -6.499741 -6.063363 -4.565720 -2.062659 0.379015 1.131298 -0.463500 
|labels 0 1 |features 11.096355 4.067733 -0.383077 -3.284679 -4.593148 -4.286556 -2.504051 0.814981 5.881874 12.025821 17.195125 18.515024 14.511990 6.049087 -3.657009 -10.880482 -13.446652 -12.070635 -8.997752 -6.308847 -4.695887 -3.476606 -1.980830 -0.391900 0.267655 -0.591122 -2.200819 -2.829295 -0.494735 5.473766 13.138879 19.350806 21.652880 19.391272 14.046374 8.579801 4.994747 3.808152 3.988440 4.173208 3.852768 3.522887 3.879181 5.255018 7.151479 8.598323 9.001648 8.323668 7.016302 5.886121 5.681398 6.574940 8.566467 10.838898 12.321058 12.183435 10.400754 7.508519 4.567467 2.054828 -0.494615 -3.180667 -5.495119 -6.574924 -6.192847 -5.288427 -6.475970 -11.651260 -20.190260 -28.827679 -33.223790 -31.003590 -23.699945 -15.866083 -11.284577 -11.174115 -13.126198 -13.617232 -10.547003 -5.139263 -0.130487 2.029314 1.046112 -1.671106 -4.049484 -5.177266 -5.249387 -5.021101 -4.447471 -3.273298 -1.306601 0.813081 2.035667 1.595119 0.190203 -0.532791 0.907960 4.600876 8.896429 11.278802 10.342820 6.747251 2.566501 -0.038923 -0.173035 1.225372 2.573639 3.123845 3.212842 3.613666 4.742647 5.709404 5.255679 2.906036 -0.185432 -2.236009 -1.657204 1.436704 5.372053 7.889411 7.943396 6.117792 3.990915 3.064221 3.541667 4.341241 4.103897 2.294864 -0.359794 -2.208060 -1.929357 0.544117 3.929441 6.206944 6.061944 3.628673 0.141680 -2.797749 -4.038488 -3.623601 -2.409743 -1.380585 -1.001920 -1.458739 -2.446124 -3.728805 -4.849107 -5.560424 -5.228171 -3.746321 -1.371902 0.679135 1.462779 0.478500 -1.560729 -3.142373 -2.590271 0.473211 4.782374 7.978116 8.133369 4.777922 -0.817895 -6.286285 -9.645785 -10.201357 -8.542380 -5.705347 -2.606822 0.465411 3.159584 5.305111 6.173295 5.538670 3.650480 1.442550 -0.416464 -1.189528 -1.004902 -0.280756 0.471449 1.178046 1.841970 2.730733 4.010315 5.744918 7.496819 8.986667 9.887021 10.139096 9.944849 9.741291 9.695300 9.905782 10.393046 11.352647 12.997570 14.912240 16.305192 16.276821 
|labels 0 1 |features -19.894119 -23.188677 -21.211099 -20.210343 -17.933042 -14.806218 -11.126745 -7.255870 -3.404770 -0.717009 -0.012594 -0.951280 -2.270806 -2.630801 -1.327050 1.244145 3.741950 5.218192 5.308826 4.341533 2.800350 1.263684 -0.166462 -1.599671 -3.248597 -5.192408 -6.600356 -6.583375 -4.219891 0.290612 5.773971 9.912340 11.604019 11.202550 10.313665 10.427598 12.423193 15.713302 19.478692 23.225399 26.991015 30.157664 31.781628 30.984135 27.594030 22.624055 17.292557 12.315427 7.412596 2.808846 -0.711404 -1.593300 0.670204 5.054725 8.844878 10.276857 9.146736 6.909725 4.638700 2.396846 -1.073419 -6.230740 -11.516410 -14.739790 -14.443474 -11.687964 -9.472234 -9.558381 -11.226052 -12.358838 -11.299646 -7.953947 -4.796391 -3.638523 -4.502842 -5.652871 -5.126809 -2.110655 2.480811 6.826153 9.585655 9.850896 7.334439 2.595903 -2.877889 -7.280596 -8.942098 -7.939701 -6.118115 -5.617687 -7.439440 -10.569665 -12.697942 -12.689621 -10.880178 -8.631231 -6.856903 -5.439844 -3.166743 0.270094 4.253197 7.108598 7.997376 7.269135 6.179711 5.708792 6.309128 7.623941 9.398324 11.478670 13.026295 13.119795 10.288372 4.219721 -3.823779 -10.959896 -14.710887 -13.852413 -9.640908 -4.819939 -1.704596 -1.163998 -2.067490 -2.615916 -1.821354 0.108150 1.935921 2.687944 2.585543 3.182950 5.569381 9.023396 11.730096 11.677919 8.512722 4.026277 1.315436 1.732686 4.455223 6.775590 6.373002 2.756504 -2.253556 -6.308539 -7.923541 -7.292070 -5.424743 -3.401690 -1.768645 -0.867686 -1.094780 -2.459558 -4.583633 -6.574870 -7.210608 -5.885086 -2.866543 1.062254 5.021701 8.184438 9.926447 9.516578 6.669254 1.824347 -3.808136 -8.514847 -10.830271 -10.277381 -7.500873 -3.776706 -0.364417 1.802009 2.852921 3.429067 4.543494 6.320502 7.968026 7.637644 4.600973 -0.571544 -5.394495 -6.824524 -4.022936 0.872123 4.771202 5.309266 2.483875 -0.934297 -2.253364 -0.754442 2.310288 4.591486 5.010954 4.140870 2.938215 2.035671 1.349248 0.033983 -2.129442 -4.329087 
|labels 1 0 |features 16.987932 12.078529 4.480712 -1.283659 -5.960622 -8.556081 -9.328038 -8.964672 -8.250402 -7.432608 -6.528857 -5.946444 -6.625691 -9.400441 -13.544124 -17.405153 -18.950230 -17.425737 -13.863890 -10.599930 -8.926777 -8.534123 -7.759801 -4.969736 -0.286221 4.607972 8.594163 11.754792 15.072127 19.696074 25.126652 29.534193 30.402839 28.006370 24.251404 22.159689 23.027466 27.154092 31.432767 33.048387 30.850198 25.722326 19.418540 14.365630 11.642191 10.536641 9.495506 7.166842 3.279714 -1.275829 -4.706670 -5.583573 -3.776117 -0.564109 2.218668 3.275446 2.451316 0.598936 -1.175608 -2.296405 -3.023712 -3.740212 -4.447958 -4.670581 -3.911130 -2.410215 -1.100787 -1.249920 -3.356209 -6.863596 -9.952903 -11.202867 -10.147411 -7.778972 -5.775066 -5.708002 -7.933448 -11.341152 -14.521177 -15.933048 -14.980823 -11.894093 -7.931631 -4.230075 -1.970403 -1.797268 -3.342567 -5.613609 -7.732138 -9.118202 -9.419707 -9.161778 -8.437570 -7.191913 -5.670447 -4.576027 -4.752066 -7.255484 -11.744471 -16.421948 -18.965498 -18.012017 -13.734933 -8.317279 -4.368658 -3.445406 -5.402271 -8.979495 -12.619894 -15.234016 -16.649994 -16.843738 -16.038924 -14.511598 -12.991903 -12.256811 -12.707863 -14.027527 -15.455258 -16.099993 -15.764289 -14.860585 -14.092488 -13.727002 -13.882922 -14.511409 -15.629884 -17.461145 -19.461460 -20.708337 -20.533310 -19.054529 -16.916834 -15.376591 -14.796212 -14.396701 -12.876620 -9.927492 -6.493340 -3.954610 -2.987440 -3.096939 -2.370914 0.219956 4.027080 7.239950 8.088315 5.779670 1.594939 -2.636929 -5.538802 -6.619215 -6.021958 -4.098088 -1.009173 2.655407 5.618118 6.913668 6.007203 3.399677 0.516534 -1.251620 -1.573284 -0.986000 -0.460717 -0.729144 -1.710846 -2.961165 -3.870047 -4.075370 -3.612907 -3.033607 -3.096899 -4.492702 -7.067073 -9.771522 -10.993566 -9.445682 -5.227733 -0.133240 3.488708 4.201434 2.190035 -0.603860 -2.051658 -1.126777 1.376181 3.612471 4.002617 2.350412 -0.228202 -2.024534 -1.958849 -0.440475 0.891050 0.495662 -2.172923 -6.151020 -9.554855 -10.767111 
|labels 0 1 |features 3.383753 -0.293313 0.303643 0.659419 1.341755 0.895799 -1.472064 -5.342524 -8.975128 -10.789921 -10.256556 -8.206830 -6.119597 -5.204691 -5.546658 -6.494200 -7.393024 -8.258345 -9.274492 -10.266404 -10.335311 -8.486555 -4.302935 1.447984 7.024588 11.436525 14.746307 17.858552 21.389050 25.140674 27.096832 25.589297 20.582296 14.112658 9.067010 8.049535 11.130181 16.426431 21.009589 22.596461 20.519281 16.058472 10.927801 6.642426 3.991755 2.881789 2.758188 2.942035 2.875280 2.137422 0.665367 -1.366218 -3.436727 -5.025975 -5.849715 -6.134613 -6.445413 -7.517341 -9.801147 -13.247329 -17.347211 -21.425192 -24.845237 -26.740540 -26.986676 -25.396986 -22.239440 -18.382444 -15.177449 -13.478072 -13.626532 -15.058286 -16.319098 -16.410009 -14.888958 -12.614540 -10.537323 -9.197480 -8.013185 -6.097857 -2.822172 1.241916 4.771055 6.576914 6.793286 6.655002 7.579139 10.022926 13.078607 15.125707 15.252806 13.851846 12.125685 10.917918 10.405662 9.893200 8.934516 7.761305 7.168954 7.713608 9.297071 11.216354 12.704926 13.476341 13.121468 11.230769 7.411686 2.191453 -3.160341 -6.468105 -6.530495 -3.997061 -1.126530 0.265493 -0.625375 -2.365501 -2.729017 -1.286178 0.499969 1.242415 0.583692 -0.499037 -0.007144 2.700170 5.914407 6.900320 4.746676 0.579944 -2.721253 -2.928809 -0.107514 3.328903 5.246657 4.814729 2.914054 1.137709 0.270964 -0.087516 -0.717702 -1.910780 -3.318491 -4.268375 -4.440825 -3.952354 -3.138209 -2.257372 -1.704630 -1.920119 -3.012286 -4.312250 -4.536885 -2.477962 1.566759 5.417573 6.140287 1.988656 -5.892265 -14.455138 -19.721836 -19.912060 -15.843331 -10.566690 -6.463925 -5.006766 -5.866220 -7.941920 -10.071115 -11.289051 -10.927786 -8.745340 -5.077804 -1.174018 1.371295 1.267640 -1.468578 -5.684735 -9.425650 -11.114450 -10.118202 -7.011670 -3.187501 -0.053450 1.496683 1.832115 2.098874 3.721019 7.044686 10.950226 13.555380 13.607353 11.106676 7.638150 5.065547 4.093626 4.191630 4.334460 4.059694 3.957406 4.811485 6.418889 
|labels 0 1 |features -2.635368 -1.777460 -0.402358 -1.024347 -2.585710 -4.565337 -5.855859 -5.858884 -4.946907 -4.484611 -5.548382 -7.498524 -8.554986 -7.458165 -4.497791 -1.437746 -0.446558 -2.045749 -4.949947 -6.996509 -6.887170 -4.884157 -2.279454 0.066783 1.821596 3.369166 4.922420 6.249476 6.474277 5.686282 4.553393 4.283815 5.628718 8.630554 11.993397 14.416695 14.786660 12.835246 9.109343 5.125065 2.436568 2.199739 4.694678 8.679351 12.011940 12.417572 8.907189 2.145170 -5.466287 -11.428560 -14.414558 -14.630917 -13.508427 -12.330578 -11.326990 -9.833951 -7.353661 -4.026042 -0.966787 0.606472 0.536588 -0.454747 -1.488345 -2.262867 -3.121394 -4.656749 -6.799221 -8.924563 -10.181619 -10.637536 -10.813890 -11.257658 -11.828859 -11.806241 -10.309373 -6.997636 -2.561893 2.442970 7.286907 11.534460 14.173110 14.855160 13.336103 10.759876 8.987791 9.239795 11.034583 12.637661 12.192782 9.262849 5.517702 2.907170 2.207472 2.578222 2.323673 0.718991 -1.639898 -3.259826 -3.393019 -2.408493 -1.571191 -1.440506 -1.704986 -1.435917 -0.175736 1.458619 2.644648 3.021296 2.964680 3.205666 4.357405 6.030828 7.382226 8.041452 7.885047 7.098434 5.830722 3.886354 1.166432 -2.081661 -5.007017 -6.651759 -6.218438 -3.995765 -1.107710 0.830648 0.447918 -2.375077 -6.522461 -9.704494 -10.113149 -6.963466 -1.331857 4.699804 8.988836 10.117057 8.271571 4.251591 -0.550394 -4.929820 -7.648879 -8.372226 -7.145817 -4.669062 -1.890741 0.336041 1.528604 1.497032 0.196914 -2.209271 -5.120404 -7.607380 -8.787135 -8.409987 -7.049710 -5.889623 -5.717341 -6.337584 -7.153608 -7.562520 -7.755303 -8.565415 -10.586931 -13.476534 -16.017871 -16.950328 -15.945577 -13.291148 -10.521913 -8.844248 -9.130224 -11.139191 -14.390380 -17.203641 -18.462061 -17.421317 -14.647711 -11.414536 -9.341929 -9.253474 -10.497063 -11.542833 -11.429409 -9.914014 -7.728941 -6.089702 -5.580787 -5.864174 -6.137164 -5.504551 -3.498563 -0.635227 2.309775 4.145240 4.756803 4.520110 4.418822 5.713960 9.123673 13.873319 
|labels 0 1 |features 1.201325 4.446854 5.102930 4.851253 3.660300 2.118843 1.052881 0.900350 1.480938 2.267483 2.896323 3.141101 2.877267 1.918150 -0.012167 -2.649445 -5.460240 -7.659406 -8.794638 -8.674303 -7.260339 -4.247452 0.360158 6.135038 11.415487 14.875479 15.819580 14.827659 13.171795 12.696984 13.297759 14.037726 13.953755 12.699403 10.798510 8.994130 7.821843 7.404235 7.861452 9.347081 12.133292 15.545833 18.151696 18.276111 15.363951 10.228803 4.913858 0.948116 -1.139565 -2.181461 -3.315923 -5.000029 -6.800726 -8.012515 -8.333091 -7.759107 -6.664661 -5.131315 -3.125898 -1.016853 0.288694 -0.255760 -2.932371 -6.879649 -10.637585 -13.265715 -14.611869 -15.862144 -18.026720 -21.174387 -23.650557 -24.496708 -22.741432 -19.350635 -15.427065 -12.161199 -9.493913 -7.596820 -6.193811 -5.536743 -5.603725 -5.729476 -5.058893 -3.292302 -1.386743 -1.082097 -3.404937 -7.395521 -10.714140 -10.663934 -6.511879 0.208226 6.506364 10.367529 11.352482 10.731178 10.117348 10.146099 10.405549 10.013217 9.053170 8.432635 9.600639 12.930969 17.762959 21.773457 22.788956 19.889461 14.260237 8.446803 5.243325 5.439460 7.597806 9.124005 8.157005 4.697150 0.525871 -2.344328 -3.021027 -2.130082 -0.892305 0.145518 1.252826 2.785718 4.439756 5.333480 4.755203 3.075370 1.324174 0.591039 1.145447 2.310288 3.467595 4.450924 5.298638 5.736591 5.451177 4.042663 2.027831 0.749424 1.306418 3.544747 5.827722 6.455638 4.852985 1.935560 -0.875013 -2.584749 -3.458973 -4.330239 -5.545673 -6.654949 -7.041559 -6.508812 -5.681887 -5.441640 -6.159891 -7.600714 -9.204154 -10.423351 -11.383742 -11.864810 -11.685711 -10.507382 -8.543127 -5.744525 -2.837260 -0.215954 1.736669 2.661423 1.966796 -0.184207 -2.833064 -4.482423 -3.406405 1.068479 7.887911 14.873217 19.560283 20.252929 16.685537 10.117281 2.742329 -2.758268 -4.284057 -1.131034 5.105065 11.358524 14.427894 12.465959 5.950738 -2.680173 -10.751057 -16.293042 -18.772068 -18.681348 -16.894173 -14.040982 -10.718988 -7.452648 
|labels 1 0 |features -4.469117 -2.094530 0.005215 2.146398 4.801007 7.769896 10.426807 11.770406 10.796343 7.130173 1.776331 -3.543807 -7.139674 -8.383198 -7.629275 -5.913537 -4.285826 -3.330310 -3.336043 -4.308015 -6.185351 -8.484622 -10.645512 -11.848596 -11.521392 -9.402851 -5.619563 -0.556485 4.679952 9.238429 11.571365 11.121497 8.073686 4.004297 0.485548 -0.929353 -0.162668 1.946898 4.141139 5.360270 5.562246 5.211290 4.754660 4.418141 4.390118 4.730027 5.620210 7.102083 8.611614 9.094651 7.854182 4.986955 1.571752 -0.490839 -0.320567 1.491961 3.006615 2.314906 -1.562603 -7.407822 -13.117315 -16.654998 -17.533789 -16.640290 -15.694194 -15.971616 -17.484344 -18.822769 -18.541070 -15.706432 -10.446403 -4.379873 0.355186 2.054874 1.146642 -1.140109 -2.523643 -1.772890 1.091693 4.062622 5.529939 4.563502 1.723794 -1.389342 -3.542690 -3.863028 -2.643217 -0.403620 1.813631 3.283480 3.421934 2.665468 2.115115 3.119841 6.501693 11.376146 15.880195 18.471348 19.150030 18.861856 19.024872 19.881690 20.559492 19.977448 17.813187 15.070066 12.947743 11.657804 10.119988 8.010360 5.330329 3.052837 1.997180 1.818720 0.882118 -1.837919 -5.570049 -8.568337 -9.119675 -7.469386 -5.243727 -4.947773 -7.328240 -11.268249 -14.517267 -15.970780 -15.882496 -15.550435 -16.058175 -17.697541 -19.871864 -21.464177 -21.971698 -21.130062 -18.736219 -15.003670 -10.524736 -6.397882 -3.899898 -4.080478 -6.753736 -10.959778 -15.493084 -19.194848 -21.601850 -21.829553 -19.809958 -15.649707 -10.229350 -4.638723 -0.612805 1.251334 1.482625 1.296860 1.934297 3.715319 5.874614 7.312029 7.214767 5.606243 3.085187 0.235259 -3.068713 -7.006941 -11.305447 -14.860220 -16.053010 -13.580068 -7.659149 -0.095509 6.600695 10.434795 10.841884 8.832110 6.008378 3.648521 2.598070 3.123471 4.714223 6.664475 8.073476 8.352383 7.304801 6.045571 5.793536 7.458754 10.510800 13.575970 14.463151 12.377348 8.170038 4.053239 2.182953 3.811589 8.293201 13.662785 17.907928 19.496867 18.056649 14.600127 
|labels 0 1 |features 17.312992 14.363331 12.242507 10.267083 8.816886 7.836479 7.224206 7.115970 7.222223 7.425969 7.160636 6.102473 3.578934 -0.292018 -5.003291 -9.897211 -14.188092 -17.553219 -19.779186 -20.661846 -19.796436 -16.926858 -11.776670 -5.151523 1.089895 5.429346 6.958251 6.056641 4.364424 3.218703 3.106703 3.372756 2.998738 1.276970 -1.242373 -3.478104 -4.577975 -4.419089 -3.659186 -3.036506 -2.914794 -3.025367 -3.066670 -3.058040 -3.512608 -4.844447 -7.358518 -10.238578 -12.955041 -15.236495 -17.270018 -19.443586 -22.531999 -26.228714 -29.377744 -30.990475 -30.110639 -27.102353 -22.998529 -19.063886 -15.836387 -13.795451 -12.430370 -11.298708 -10.461876 -10.550104 -11.339500 -12.052014 -11.656829 -9.049769 -3.876350 2.674846 8.543398 11.963281 12.142561 9.720347 6.473432 4.405570 4.896995 7.954865 12.706593 18.068350 22.815574 26.416222 28.669226 28.979561 27.162005 23.581286 19.340953 15.871587 15.140241 16.876125 19.701807 21.310968 20.186974 16.320980 12.118723 10.130536 11.857951 16.732130 22.311025 25.657060 25.888987 23.519421 20.345599 18.148406 17.285984 17.176384 17.006259 16.022114 14.305406 12.846485 11.639419 10.407735 9.126493 7.274987 5.213039 3.111806 1.240679 -0.399953 -1.884137 -3.175337 -3.754769 -3.406512 -2.946622 -2.935193 -3.770020 -5.476385 -7.493019 -9.054666 -9.598667 -9.707065 -10.071449 -10.346407 -9.933526 -8.891424 -7.428742 -6.184698 -6.506442 -8.336854 -9.859312 -10.171276 -8.633241 -6.219213 -3.641205 -1.936850 -0.877146 0.392848 2.106227 3.345435 3.029018 1.362627 -0.842779 -1.831420 -0.675709 2.419956 6.339473 9.869105 12.639093 14.439050 15.010957 13.525328 9.793211 4.129314 -0.693707 -3.879219 -4.361957 -3.436549 -2.093841 -2.566040 -2.949143 -3.161081 -2.212058 -0.916394 -0.664917 -3.374470 -8.261163 -13.114561 -16.366529 -16.901369 -14.929757 -12.141176 -9.984919 -8.885020 -8.539319 -8.354408 -7.526556 -6.954429 -6.745584 -7.567772 -8.926810 -9.676092 -8.032619 -3.692708 2.412860 7.692948 9.726558 7.294788 1.873805 -3.186508 
